InstanceId,Name,Schedule,FileBackup,ApplicationTier,Environment,Application,ContactPreference,Purpose,Validated,TechnicalOwner,CorpInfoMSP:TakeNightlySnapshot
i-0caed3a39590c6ce8 (AWOR-PDCSWDB01),AWOR-PDCSWDB01,AlwaysOn,No,Database,Production,CaseWare Monitor,Email,Database Server for CaseWare Monitor Application,No,Abel Casanova,Yes
i-0173f6cd455a14bcb (AWOR-PDCWMAPP01),AWOR-PDCWMAPP01,AlwaysOn,No,Application,Production,CaseWare Monitor,Email,Application and Web Server for Caseware Monitor,No,Abel Casanova,Yes
i-03f72d55eae8b8747,AWOR-PDWEFAPP01,AlwaysOn,No,Application,Production,WEF Forwarder,Email,Windows Event log collector,No,Adam Goodman,Yes
i-020bde2b5209987ca,AWOR-TSRSPAPP01,AlwaysOn,No,Appliance,Test,RedSeal Platform,Email,Firewall cleanup platform,No,Adam Goodman,No
i-0c51b3594df7e841e (AWOR-DVWPLDB01),AWOR-DVWPLDB01,Custom,No,Database,Development,WIP Labeling,Email,Database Server,No,Alek Slavuk,No
i-3e6593e5 (AWOR-TSPLMDB01),AWOR-TSPLMDB01,Custom,No,Database,Test,PLM|Teamcenter|Ignite,Email,Database Server,No,Alek Slavuk,No
i-027eeabfeab37789a (AWOR-DRQMSDB01),AWOR-DRQMSDB01,AlwaysOn,No,Database,Production,QMS,Email,Database Server for Disaster Recovery,Yes,Alek Slavuk | Haihao Li,Yes
i-0c3272b18e861674b (AWOR-DRSPCDB01),AWOR-DRSPCDB01,AlwaysOn,No,Database,Production,SPC,Email,Database Server,No,Alek Slavuk | Haihao Li,Yes
i-01c49a1fd48cc29b2 (AWOR-DRSQLDB02),AWOR-DRSQLDB02,AlwaysOn,No,Database,Production,SQL Farm,Email,Database Server for Disaster Recovery,No,Alek Slavuk | Haihao Li,Yes
i-7c1c48a4 (AWOR-DVPLMDB01),AWOR-DVPLMDB01,Custom,No,Database,Development,PLM|Teamcenter|Ignite,Email,Database Server,No,Alek Slavuk | Haihao Li,No
i-c0ad8255 (AWOR-OQMESDB01),AWOR-OQMESDB01,Custom,No,Database,OperationalQualification,MES,Email,Database Server,Yes,Alek Slavuk | Haihao Li,Yes
i-3ad72695 (AWOR-OQMESDB02),AWOR-OQMESDB02,Custom,No,Database,OperationalQualification,MES,Email,Database Server,Yes,Alek Slavuk | Haihao Li,Yes
i-0927d6c71bf5b7a96 (AWOR-PDARADBW01),AWOR-PDARADBW01,AlwaysOn,No,Database,Production,PLM|Aras|ePAC|DHR,Email,AlwaysOn Cluster Witness,Yes,Alek Slavuk | Haihao Li,Yes
i-94abf34c (AWOR-PDMESDB01),AWOR-PDMESDB01,AlwaysOn,No,Database,Production,MES,Email,AlwaysOn Cluster Node,Yes,Alek Slavuk | Haihao Li,Yes
