InstanceId,Name,Schedule,FileBackup,ApplicationTier,Environment,Application,ContactPreference,Purpose,Validated,TechnicalOwner,CorpInfoMSP:TakeNightlySnapshot
i-04393c95f4043b1c7 (AWSI-PDDHCP01),AWSI-PDDHCP01,AlwaysOn,No,Application,Production,DHCP,Email,DHCP Server,No,Chew Leong Toh,Yes
i-07329bba8c8e2a601 (AWSI-PDPRINT01),AWSI-PDPRINT01,AlwaysOn,No,Application,Production,PRINT,Email,Print Server,No,Chew Leong Toh,Yes
i-04888ef892d7e3c58 (SINENGLIC01),SINENGLIC01,Office Hours?,No,Application,Production,Autocad Licensing,Email,AutoCAD License Server,No,Chew Leong Toh,Yes
i-09ec868064d575ab9 (SINENGLIC02),SINENGLIC02,Office Hours?,No,Application,Production,Autocad Licensing,Email,AutoCAD License Server,No,Chew Leong Toh,Yes
i-0ff430d403a97c741 (SINFTP01),SINFTP01,AlwaysOn,No,Application,Production,FTP,Email,Log Server,No,Chew Leong Toh,Yes
i-035ae3198533a2519 (BKKSAP01),BKKSAP01,OnDemand,No,Application,Production,"SAP B1, SQL Server",Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-00597a6d7a20151bd (K+A2:A12ULSAP01),KULSAP01,OnDemand,No,Application,Production,"SAP B1, SQL Server",Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0acf779db5d737187 (MUMSAP01),MUMSAP01,OnDemand,No,Application,Production,SAP B1 Server,Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-08862d97bdea7e152 (SEOSAP01),SEOSAP01,OnDemand,No,Application,Production,SAP B1 Server,Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-019331086a4d10fc3 (SINCNZSAP01),SINCNZSAP01,OnDemand,No,Application,Production,SAP B1 Server,Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0de89bb52186c3750 (SINRDP01),SINRDP01,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0f806b7de3d8f8083 (SINRDP02),SINRDP02,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0fedc5c1123a65f47 (SINRDP03),SINRDP03,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0e289b51d2fef40ee (SINRDP04),SINRDP04,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0e45d1bd7e25af0d1 (SINRDP05),SINRDP05,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0d145357e9fc655e7 (SINSAP01),SINSAP01,OnDemand,No,Application,Production,SAP B1 Server,Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-08b36c143c4145f29 (SYDSQL01),SYDSQL01,OnDemand,No,Application,Production,"SAP B1, SQL Server",Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0d45239e16c4b1da6 (SYDTS01),SYDTS01,OnDemand,No,Application,Production,Terminal Server,Email,SAP Jumpbox,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-0db96ba25797b90c6 (TAISAP01),TAISAP01,OnDemand,No,Application,Production,SAP B1 Server,Email,SAP Server,No,Chew Leong Toh | Andi Satyawangsa,Yes
i-006e9f9b88a1aad50 (AWSI-PDECMAPP03),AWSI-PDECMAPP03,AlwaysOn,No,Application,Production,ECM Scheduler Server,Email,Application Server,Yes,Choon Leng Loh,Yes
i-06fcee6c3406b5735 (AWSI-QAECMAPP01),AWSI-QAECMAPP01,OnDemand,No,Application,QA,Agilent OpenLab ECM Web/FT/APP Server,Email,Application Server,Yes,Choon Leng Loh,Yes
i-0d66421205d04fb49 (AWSI-QAECMAPP02),AWSI-QAECMAPP02,OnDemand,No,Application,QA,"OpenLab OLSS server, Shared services",Email,Application Server,Yes,Choon Leng Loh,Yes
i-09ed4a29b133d3ef8 (AWSI-QAECMAPP03),AWSI-QAECMAPP03,OnDemand,No,Application,QA,ECM Scheduler Server,Email,Application Server,Yes,Choon Leng Loh,Yes
i-0abc18210aac3f280 (AWSI-QAECMDB01),AWSI-QAECMDB01,OnDemand,No,Database,QA,"SQL Server Collation, Database",Email,Database Server,Yes,Choon Leng Loh,Yes
