InstanceId,Name,Schedule,FileBackup,ApplicationTier,Environment,Application,ContactPreference,Purpose,Validated,TechnicalOwner,CorpInfoMSP:TakeNightlySnapshot
i-0a37c6139b6703538 (AWVA-PDMTMUCV01-Helper-Instance),AWVA-PDMTMUCV01-Helper-Instance,?,No,Application,Production,Maximo,Email,?,No,Alexis Robles,Yes
i-005bb1904e5f06784 (AWVA-PDMXOAPP01),AWVA-PDMXOAPP01,?,No,Application,Production,Maximo,Email,?,No,Alexis Robles,Yes
i-0a59e3eaddc75c4b2 (ANAJDEPRN01),ANAJDEPRN01,?,No,Application,Production,JDE,Email,?,No,Alice Martinez,Yes
i-0633c85ea491539d2 (AWVA-PDPANUID01),AWVA-PDPANUID01,AlwaysOn,No,Application,Production,Palo Alto UserID Agent,Text,Security Event Collection,No,Ben Monrad,Yes
i-011d0b6253fc22111 (AWVA-PDRASAPP01),AWVA-PDRASAPP01,AlwaysOn,No,Application,Production,Sistema Regulatory Affairs Solution,Email,?,No,Diogo Dalla,Yes
i-0c751c3e969d7fd0f (AWVA-PDKRNAPP01),AWVA-PDKRNAPP01,?,No,Application,Production,?,Email,?,No,Eddy Mateo,Yes
i-01d7b47bafb05e3f2 (HAIEIKAPP01),HAIEIKAPP01,?,No,Application,Production,?,Email,?,No,Eddy Mateo,Yes
i-06bd054f61c965395 (AWVA-PDMTMUCV01),AWVA-PDMTMUCV01,?,No,Application,Production,UCView,Email,?,No,Eduardo Reynoso,Yes
i-0f1b8a35d050297af (CloudEndure Replication Server con16),CloudEndure Replication Server con16,?,No,Application,Production,,Email,?,No,Erick Tejada,Yes
i-0f1b8a35d050297af (CloudEndure Replication Server con16),CloudEndure Replication Server con16,?,No,Application,Production,,Email,?,No,Erick Tejada,Yes
i-07719b28dbacd0784 (AWVA-PDSHAPP01),AWVA-PDSHAPP01,AlwaysOn,No,Application,Production,ACCESS CONTROL SOLUTION,Email,?,No,Gregorio De La Cruz,Yes
i-0b56aee6e21150898 (AWVA-PDSQLDB01),AWVA-PDSQLDB01,AlwaysOn,No,Database,Production,SQL,Email,Database server,No,Haihao Li,Yes
i-07b4eeee31dfee017 (ANABMSADX01),ANABMSADX01,?,No,Application,Production,,Email,?,No,Juan Ramirez,Yes
i-0863a48ebf3fdee2d (ANATSTCOT02),ANATSTCOT02,?,No,Application,Production,,Email,?,No,Juan Ramirez,No
i-0a038a5b3b95a9fce (CloudEndure Replication Server con16),CloudEndure Replication Server con16,?,No,Application,Production,,Email,?,No,Luis Romero,Yes
i-0a038a5b3b95a9fce (CloudEndure Replication Server con16),CloudEndure Replication Server con16,?,No,Application,Production,,Email,?,No,Luis Romero,Yes
i-0102ac56aa7a88b04 (HAIAPPSRV01),HAIAPPSRV01,?,No,Application,Production,"Maximo, Eikon, Access Control APP",Email,?,No,Luis Romero,Yes
i-0f8ba3aa662ebcb35 (HAIPRN01),HAIPRN01,?,No,NetworkInfrastructure,Production,PrintServer,Email,?,No,Luis Romero,Yes
i-0933759c62d21e8be (DRAKMSLIC01),DRAKMSLIC01,AlwaysOn,No,Application,Production,KMS Licensing Server,Email,Microsoft licensing server,No,Mike Pettway,Yes
i-0e7d1ca60f367148a (AWVA-PDDWCAPP01),AWVA-PDDWCAPP01,?,No,Application,Production,?,Email,?,No,Tanisha Barnett,Yes
i-0b38e0f4b3de54e61 (CRCA-PDDHCP02),CRCA-PDDHCP02,?,No,Application,Production,DHCP,Email,?,No,Tanisha Barnett,Yes
i-04df40de078f00287 (CRCA-PDPRTSRV01),CRCA-PDPRTSRV01,?,No,Application,Production,PrintServer,Email,?,No,Tanisha Barnett,Yes
